Name,Link to soldier on AWM,Birth date,Date of birth,Birth place,Date and unit at enlistment (ORs),Final rank,Date of discharge,Conflict,Unit,Units,Date of embarkation,Embarkation date,Service number,Death date,Date of death,Death place,Place of death
Private George Henry Morley,https://www.awm.gov.au/people/P10574092/#biography,none,none,"Australia: New South Wales, Sydney, Rooty Hill",none,Private,none,none,none,none,1915-12-17,none,"1782 - First World War, 1914-1918",none,none,none,none
Private Frank Morris,https://www.awm.gov.au/people/P10656848/#biography,none,none,"Australia: Queensland, Mackay",none,Private,none,none,none,none,1917-12-19,none,"2435 - First World War, 1914-1918",none,none,none,none
Private James Henry Morris,https://www.awm.gov.au/people/P10613266/#biography,1893,1893,"Australia: New South Wales, Quirindi",none,Private,none,none,none,none,1917-01-24,none,"3101 - First World War, 1914-1918",none,none,none,none
Private Samuel Morrison,https://www.awm.gov.au/people/P10677936/#biography,1898,1898,"Australia: Western Australia, Katanning",1917-06-05,Private,1917-06-21,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private Sunny Moss,https://www.awm.gov.au/people/P10677938/#biography,1898,1898,"Australia: Queensland, Cloyna",1917-05-14,Private,1917-06-13,none,none,none,none,none,"Q19611 - First World War, 1914-1918",none,none,none,none
Private Hurtle Muckray,https://www.awm.gov.au/people/P10677712/#biography,1893,1893,"Australia: South Australia, Wellington, Wellington East",none,Private,none,none,none,none,1915-01-29,none,"757 - First World War, 1914-1918",none,none,none,none
Private David Mullett,https://www.awm.gov.au/people/P10397932/#biography,none,none,"Australia: Victoria, Lake Condah",none,Private,none,none,none,none,1915-11-12,none,"500 - First World War, 1914-1918",none,none,none,none
Private Robert Munro,https://www.awm.gov.au/people/P10677714/#biography,none,none,"Australia: New South Wales, Boggabri",none,Private,none,none,13th Australian Infantry Battalion,none,1917-02-07,none,"7288 - First World War, 1914-1918",20 May 1918,1918-05-20,France,none
Private Arthur Murdock,https://www.awm.gov.au/people/P10677715/#biography,none,none,"Australia: Queensland, Hughenden",none,Private,none,none,none,none,1917-06-14,none,"3336 - First World War, 1914-19183466 - First World War, 1914-1918",none,none,none,none
Private Archie Murphy,https://www.awm.gov.au/people/P10561125/#biography,none,none,"Australia: Queensland, Wyandra",none,Private,none,none,none,none,1918-03-02,none,"3727 - First World War, 1914-1918",none,none,none,none
Private Alan Murray,https://www.awm.gov.au/people/P10677939/#biography,1881,1881,"Australia: Queensland, Burketown",none,Private,none,"First World War, 1914-1918",Depot,none,none,none,none,none,none,none,none
Private Cyril Hylton Murray,https://www.awm.gov.au/people/P10657234/#biography,none,none,"Australia: Queensland, Cleveland",none,Private,none,none,none,none,1915-10-04,none,"1197 - First World War, 1914-1918",none,none,none,none
Private Harry Murray,https://www.awm.gov.au/people/P10656849/#biography,none,none,"Australia: Queensland, Taroom",none,Private,none,none,11th Australian Light Horse Regiment,none,1917-12-19,none,"2436 - First World War, 1914-1918",none,none,none,none
Sapper Herbert Murray,https://www.awm.gov.au/people/P10601437/#biography,none,none,"Australia: Victoria, Framlingham",none,Sapper,none,none,none,none,1917-11-21,none,"7904 - First World War, 1914-1918",none,none,none,none
Private William Frederick Murray,https://www.awm.gov.au/people/P10677716/#biography,none,none,"Australia: Victoria, Purnim",none,Private,none,none,5th Australian Infantry Battalion,none,1916-06-03,none,"638 - First World War, 1914-1918638B - First World War, 1914-1918",20 September 1917,1917-09-20,Belgium,none
Private James Clarence Nabi-Bux,https://www.awm.gov.au/people/P10678043/#biography,none,none,"Australia: New South Wales, Cummeragunja Station",none,Private,none,none,45th Australian Infantry Battalion,none,1916-10-07,none,"2695 - First World War, 1914-1918",7 June 1917,1917-06-07,Belgium,none
Private Alfred William Naden,https://www.awm.gov.au/people/P10574958/#biography,none,none,"Australia: New South Wales, Condobolin",none,Private,none,none,none,none,1916-08-05,none,"3601 - First World War, 1914-1918",none,none,none,none
Private Gordon Charles Naley,https://www.awm.gov.au/people/P10677718/#biography,none,none,"Australia: Western Australia, Eucla",none,Private,none,none,16th Australian Infantry Battalion,none,1914-12-22,none,"1310 - First World War, 1914-1918",28 August 1928,1928-08-28,"Australia: South Australia, Adelaide",none
Private Samuel Napoleon,https://www.awm.gov.au/people/P10488492/#biography,none,none,"Australia: New South Wales, Grafton",none,Private,none,none,none,none,1915-12-30,none,"3867 - First World War, 1914-1918",4 January 1939,1939-01-04,"Australia: Queensland, Brisbane",none
Private William Joseph Napoleon,https://www.awm.gov.au/people/P10677719/#biography,1884,1884,"Australia: New South Wales, Grafton",none,Private,none,none,49th Australian Infantry Battalion,none,1916-10-27,none,"2966 - First World War, 1914-1918",19 June 1917,1917-06-19,France,none
Private Arthur Charles Nelson,https://www.awm.gov.au/people/P10466920/#biography,none,none,"Australia: New South Wales, Cummeragunja",none,Private,none,none,none,none,1918-10-22,none,"68632 - First World War, 1914-1918",none,none,none,none
Private Joseph William Nettup,https://www.awm.gov.au/people/P10682726/#biography,none,none,"Australia: Western Australia, Benger",none,Private,none,none,none,none,none,none,"Depot - First World War, 1914-1918",none,none,none,none
Private Walter Newton,https://www.awm.gov.au/people/P10640998/#biography,none,none,"Australia: New South Wales, Yancannia",none,Private,none,none,none,none,1917-06-22,none,"3376 - First World War, 1914-1918",none,none,none,none
Private William Nicholld,https://www.awm.gov.au/people/P10656853/#biography,none,none,"Australia: Queensland, North Queensland, Cape York",none,Private,none,none,none,none,1917-12-19,none,"2439 - First World War, 1914-1918",none,none,none,none
Private John Ninyett,https://www.awm.gov.au/people/P10677940/#biography,1893,1893,"Australia: Western Australia, Brookton",1917-05-11,Private,1917-06-01,none,none,none,none,none,"W14019 - First World War, 1914-1918",none,none,none,none
Private Jack Harry Norman,https://www.awm.gov.au/people/P10677943/#biography,24 October 1899,1899-10-24,"Australia: Queensland, Croydon",none,Private,none,none,none,none,none,none,"64373 - First World War, 1914-1918",none,none,none,none
Private Edward O'Rourke,https://www.awm.gov.au/people/P10459001/#biography,26 March 1892,1892-03-26,"Australia: Victoria, Gippsland",none,Private,none,none,none,none,1918-10-05,none,"66316 - First World War, 1914-1918",none,none,none,none
Private Charles John O'leary,https://www.awm.gov.au/people/P10677944/#biography,22 March 1900,1900-03-22,"Australia: New South Wales, Barraba",1918-10-22,Private,1918,"First World War, 1914-1918",Depot,none,none,none,none,none,none,none,none
Private John Ogilvie,https://www.awm.gov.au/people/P10458307/#biography,none,none,"Australia: Western Australia, Shark Bay",none,Private,none,none,none,none,1917-07-24,none,"7114 - First World War, 1914-1918",none,none,none,none
Private Jack Oliffe,https://www.awm.gov.au/people/P10656854/#biography,none,none,"Australia: Queensland, Claverton",none,Private,none,none,none,none,1917-12-19,none,"2440 - First World War, 1914-1918",1958,1958,Australia: Queensland,none
Private William Olive,https://www.awm.gov.au/people/P10566462/#biography,none,none,"Australia: New South Wales, Grafton",none,Private,none,none,none,none,1916-03-31,none,"5158 - First World War, 1914-1918",none,none,none,none
Private Andrew Olsen,https://www.awm.gov.au/people/P10634752/#biography,none,none,"Australia: Queensland, Brisbane, Toowong",none,Private,none,none,none,none,1915-02-09,none,"736 - First World War, 1914-1918",none,none,none,none
Private Clarence Richmond Olsen,https://www.awm.gov.au/people/P10628950/#biography,none,none,"Australia: Queensland, Brisbane",none,Private,none,none,none,none,1915-10-04,none,"1724 - First World War, 1914-1918",none,none,none,none
Private Charles Owen,https://www.awm.gov.au/people/P10645235/#biography,none,none,"Australia: South Australia, Robe",none,Private,none,none,none,none,1917-06-21,none,"697 - First World War, 1914-1918",none,none,none,none
Private Edwin Owen,https://www.awm.gov.au/people/P10677723/#biography,none,1922-06-11,"Australia: South Australia, Robe",none,Private,none,none,none,none,1916-11-23,none,"6418 - First World War, 1914-1918",18 October 1950,1950-10-18,none,none
Private Frank Edgar Owen,https://www.awm.gov.au/people/P10526683/#biography,1878,1878,"Australia: South Australia, Wallaroo",none,Private,none,none,none,none,1915-05-24,none,"236 - First World War, 1914-19184193 - First World War, 1914-1918",none,none,none,none
Private Reuben Pacey,https://www.awm.gov.au/people/P10461516/#biography,1  1890,1890-15-01,"Australia: New South Wales, Nambucca",none,Private,none,none,none,none,1918-06-19,none,"58693 - First World War, 1914-1918",1947,1947,Australia: New South Wales,none
Private Walter Page,https://www.awm.gov.au/people/P10677945/#biography,1888,1888,"Australia: New South Wales, Coraki",1917-07-07,Private,1918-03-12,none,none,none,none,none,"2442 - First World War, 1914-1918",none,none,none,none
Private William Pagel,https://www.awm.gov.au/people/P10677946/#biography,1896,1896,"Australia: Queensland, North Queensland, Port Douglas",1917-05-14,Private,1917-06-13,none,none,none,none,none,"Q19602 - First World War, 1914-1918",none,none,none,none
Private Charlie Parkes,https://www.awm.gov.au/people/P10656856/#biography,none,none,"Australia: Queensland, Charleville",none,Private,none,none,none,none,1917-12-19,none,"2443 - First World War, 1914-19183705 - First World War, 1914-1918",none,none,none,none
Private Henry Albert Patterson,https://www.awm.gov.au/people/P10348719/#biography,none,none,"Australia: Victoria, Healesville",none,Private,none,none,none,none,1916-03-16,none,"5193 - First World War, 1914-1918",none,none,none,none
Private William Pearce,https://www.awm.gov.au/people/P10647855/#biography,none,none,"Australia: New South Wales, Brewarrina",none,Private,none,none,none,none,1917-09-03,none,"3431 - First World War, 1914-1918",none,none,none,none
Private Harry Peel,https://www.awm.gov.au/people/P10629948/#biography,none,none,"Australia: South Australia, Streaky Bay",none,Private,none,none,none,none,1917-06-22,none,"3422 - First World War, 1914-1918",none,none,none,none
Private Thomas William Pehow,https://www.awm.gov.au/people/P10677731/#biography,1890,1890,"Australia: Queensland, Gayndah",none,Private,none,none,12th Australian Infantry Battalion,none,1915-10-21,none,"2667 - First World War, 1914-1918",18 September 1918,1918-09-18,France,none
Private Percy Pepper,https://www.awm.gov.au/people/P10353042/#biography,none,none,"Australia: Victoria, Ramahyuck",none,Private,none,none,none,none,1916-09-25,none,"5677 - First World War, 1914-1918",none,none,none,none
Private Arthur Perfect,https://www.awm.gov.au/people/P10474748/#biography,none,none,"Australia: Queensland, North Queensland, Rockhampton",none,Private,none,none,none,none,1917-10-31,none,"7757 - First World War, 1914-1918",none,none,none,none
Private George Percy Perfect,https://www.awm.gov.au/people/P10510410/#biography,none,none,"Australia: New South Wales, Adelong",none,Private,none,none,none,none,1917-01-24,none,"3441 - First World War, 1914-1918",1921,1921,Australia: New South Wales,none
Private Hubert Perfect,https://www.awm.gov.au/people/P10540063/#biography,none,none,"Australia: New South Wales, Adelong",none,Private,none,none,none,none,1916-11-11,none,"3256 - First World War, 1914-19183255 - First World War, 1914-1918",none,none,none,none
Private Jonathan Perfect,https://www.awm.gov.au/people/P10424126/#biography,3 March 1899,1899-03-03,"Australia: New South Wales, Adelong",none,Private,none,none,none,none,1917-02-07,none,"7302 - First World War, 1914-1918NX131487 - Second World War, 1939-1945",none,none,none,none
Private Joseph Perfect,https://www.awm.gov.au/people/P10537240/#biography,none,none,"Australia: Queensland, North Queensland, Rockhampton",none,Private,none,none,none,none,1915-06-29,none,"200 - First World War, 1914-1918",none,none,none,none
Private Robert Perfect,https://www.awm.gov.au/people/P10535080/#biography,none,none,"Australia: New South Wales, Adelong",none,Private,none,none,none,none,1917-01-24,none,"3093 - First World War, 1914-1918",12 August 1982,1982-08-12,Australia: New South Wales,none
Private Walter Perfect,https://www.awm.gov.au/people/P10503058/#biography,none,none,"Australia: New South Wales, Adelong",none,Private,none,none,none,none,1918-10-14,none,"66981 - First World War, 1914-191860981 - First World War, 1914-1918",none,none,none,none
Private William Perrott,https://www.awm.gov.au/people/P10677739/#biography,none,none,"Australia: Queensland, North Queensland, Herberton",none,Private,none,none,49th Australian Infantry Battalion,none,1917-08-01,none,"3704 - First World War, 1914-1918",1 November 1918,1918-11-01,"France: Haute-Normandie, Seine Maritime, Le Treport",none
Corporal James Edward Phillips,https://www.awm.gov.au/people/P10677740/#biography,none,none,"Australia: New South Wales, Dorrigo",none,Corporal,none,none,53rd Australian Infantry Battalion,none,none,none,"1643 - First World War, 1914-1918",none,none,none,none
Private Robert Pinkey,https://www.awm.gov.au/people/P10677947/#biography,1887,1887,"Australia: South Australia, Bordertown",1917-08-24,Private,1917-09-07,none,none,none,none,none,"S12951 - First World War, 1914-1918",none,none,none,none
